code,name,lat,lng,google_place_id
81.0,Maluku,-3.6397874,128.1711719,ChIJ36EccLq8ES0RUZpkBNvoMF4
82.0,Maluku Utara,0.8076286,127.3583317,ChIJszIkro6uni0RwBr3yvsLAwE
52.0,Nusa Tenggara Barat,-8.5843634,116.1009666,ChIJIe0SGpQNuC0RxXX30MzCZ2k
53.0,Nusa Tenggara Timur,-10.2075002,123.6171674,ChIJlzbpqE3yUiwR4Br3yvsLAwE
91.0,Papua,-2.5974578,140.662151,ChIJc5L_qgQsO2gRc-bvXpxOqes
92.0,Papua Barat,-0.8692795,134.059118,ChIJLQviub0KVC0RYsvHxfjBSVM
95.0,Papua Pegunungan,-4.2712975,138.651642,ChIJc5L_qgQsO2gRc-bvXpxOqes
93.0,Papua Selatan,-8.4973832,140.395268,ChIJcT0LMnAYtWkRCOADlKzveE4
94.0,Papua Tengah,-4.521838,136.8608935,ChIJc5L_qgQsO2gRc-bvXpxOqes
