code,name,lat,lng,google_place_id
51.0,Bali,-8.6746895,115.215692,ChIJoQ8Q6NNB0S0RkOYkS7EPkSQ
36.0,Banten,-6.1182807,106.1543149,ChIJmbkNxNaKQS4R6bMai6ua074
34.0,Daerah Istimewa Yogyakarta,-7.7991956,110.3740259,ChIJxWtbvYdXei4R8LPIyrKSG20
31.0,DKI Jakarta,-6.1767,106.8256664,ChIJnUvjRenzaS4RoobX2g-_cVM
32.0,Jawa Barat,-6.9191584,107.6414299,ChIJf0dSgjnmaC4Rfp2O_FSkGLw
33.0,Jawa Tengah,-6.9860659,110.4107997,ChIJ3RjVnJt1ZS4RRrztj53Rd8M
35.0,Jawa Timur,-7.2650397,112.7327915,ChIJxbXun_eToy0RULh8yvsLAwE
